prompt,timestamp,Nike,Adidas,Hoka,New Balance,Jordan
What are the best running shoes in 2025?,2025-06-16T11:32:56.812508,1,1,1,0,0
Top performance sneakers for athletes,2025-06-16T11:33:21.449562,6,3,5,0,0
Most comfortable athletic shoes for daily wear,2025-06-16T11:33:43.883978,9,5,5,0,0
Best basketball shoes for professional players,2025-06-16T11:34:17.020299,11,11,6,2,0
Top-rated cross-training shoes,2025-06-16T11:34:40.366745,11,11,6,2,0
Most popular athletic footwear brands,2025-06-16T11:35:06.003124,16,17,6,2,0
Best shoes for marathon runners,2025-06-16T11:35:27.920730,16,17,6,2,0
Top-rated tennis shoes,2025-06-16T11:35:50.504771,20,21,12,6,0
Most innovative sports shoe technologies,2025-06-16T11:36:20.741792,20,21,12,6,0
Best shoes for high-impact sports,2025-06-16T11:36:46.143010,26,26,12,7,0
